#{"t_start": 1720222829.1774597, "env_id": "None"}
r,l,t
177971.156765,1580,13864.489093
437683.886266,1580,13884.938131
646077.951016,1580,13905.531852
558068.393693,1580,13928.137009
346703.005763,1580,13949.086369
892911.233369,1580,13970.052221
395603.012483,1580,13992.541423
370916.193427,1580,14013.151492
-42813.093154,1580,14034.389216
503594.064861,1580,14056.931144
386589.865874,1580,14077.113447
197588.768542,1580,14098.466045
186806.335741,1580,14121.229882
-33620.384665,1580,14141.897402
256528.915006,1580,14163.30124
-31900.011549,1580,14185.119947
-304335.601242,1580,14205.199426
-297526.603888,1580,14227.621211
198753.578546,1580,14249.572944
79769.141848,1580,14269.483737
176276.175592,1580,14291.199113
-107787.680908,1580,14312.28835
-310104.31044,1580,14335.764797
-42772.578582,1580,14357.591163
-73710.737665,1580,14378.209199
-69681.566468,1580,14398.067379
-124022.341258,1580,14422.773634
-54046.054858,1580,14443.164641
53193.553918,1580,14463.621505
87376.034372,1580,14486.040385
49343.287824,1580,14506.802591
195353.894443,1580,14526.787708
80571.239904,1580,14549.055745
370701.755446,1580,14569.434737
362805.502708,1580,14589.454022
342095.864502,1580,14612.185208
190921.482888,1580,14632.248957
345093.749144,1580,14652.602134
88816.222093,1580,14675.814363
1069432.566863,1580,14696.485608
1167249.55777,1580,14717.327324
649877.721727,1580,14739.16414
576927.922982,1580,14759.054661
458976.164764,1580,14780.286769
417685.004041,1580,14801.796144
500649.63736,1580,14821.627757
881415.050792,1580,14843.38178
288196.636687,1580,14865.072102
778924.09139,1580,14885.110192
796228.951385,1580,14906.886601
1182911.637227,1580,14928.170093
1552866.020714,1580,14948.012522
475074.072592,1580,14969.816114
793698.836119,1580,14990.997007
784060.819694,1580,15010.993279
850782.707603,1580,15032.301518
845893.152913,1580,15053.839868
1189494.981281,1580,15074.144449
1367401.75776,1580,15096.818512
1094495.091867,1580,15118.043614
736186.222988,1580,15139.002505
803789.612407,1580,15161.039461
2587588.873746,1580,15181.507246
1742190.876176,1580,15201.81867
788370.691129,1580,15224.654039
754764.599791,1580,15244.555338
1540280.777008,1580,15264.683594
1624860.96115,1580,15287.469697
807406.004945,1580,15307.887967
716238.477325,1580,15328.745262
924664.380045,1580,15351.328075
1394643.420553,1580,15372.186985
2846752.02391,1580,15393.996172
816352.851358,1580,15416.776298
934882.302572,1580,15436.857963
635041.770635,1580,15458.536514
1287275.536644,1580,15480.306062
1119494.215074,1580,15500.346495
1176898.697265,1580,15521.280207
778116.489136,1580,15544.775417
1898621.395434,1580,15565.099227
649578.051716,1580,15586.940042
1451054.08798,1580,15609.134132
794881.849879,1580,15629.569707
1021148.710057,1580,15651.688662
1373546.052241,1580,15673.896775
627437.813432,1580,15695.269794
996395.615114,1580,15717.321373
960954.238438,1580,15738.844548
997617.363165,1580,15759.499196
818514.981603,1580,15780.358315
661170.229095,1580,15799.186116
1006004.857749,1580,15817.752706
1637410.550944,1580,15838.044445
599861.065723,1580,15857.062471
1453055.397482,1580,15875.193783
1475349.537345,1580,15895.282917
4565145.744607,1580,15913.550591
1785031.177901,1580,15932.1644
862091.056274,1580,15952.243656
2421814.30679,1580,15970.85133
1359727.386058,1580,15989.227453
1332743.716141,1580,16010.3461
1180820.759947,1580,16029.834728
1236473.495512,1580,16049.447796
2258672.113715,1580,16070.45189
2314185.881337,1580,16088.142376
1372806.389475,1580,16107.360094
739615.710561,1580,16128.159122
1015702.964841,1580,16146.683105
2354055.667248,1580,16165.450965
667898.624999,1580,16184.406939
3233172.70794,1580,16202.034502
1451820.0493,1580,16221.544491
1295981.289203,1580,16240.724257
684996.956635,1580,16259.002512
4828515.63657,1580,16278.102608
708804.198738,1580,16297.152343
925172.337647,1580,16314.742572
966715.885401,1580,16334.476724
1373317.022055,1580,16353.464292
3522619.586562,1580,16371.532109
1035459.130868,1580,16391.397209
4345250.086655,1580,16409.942894
1641477.092594,1580,16428.505927
1012505.340438,1580,16448.457695
4211587.407479,1580,16466.413877
767806.030729,1580,16484.610394
921639.602657,1580,16504.21253
920006.535229,1580,16522.875667
1085565.921012,1580,16541.173612
1591253.354289,1580,16561.429524
1247276.133594,1580,16580.07161
1728997.99573,1580,16598.564553
4581283.902394,1580,16619.746297
4172601.028219,1580,16638.093483
555134.991111,1580,16657.352664
4345248.514592,1580,18465.083773
4606222.634955,1580,18484.31991
1732059.363932,1580,18505.870386
1337364.206396,1580,18528.321611
1298598.75858,1580,18548.376245
654677.580053,1580,18568.025311
4291113.758636,1580,18587.991042
1821461.968109,1580,18694.655689
1231982.56066,1580,18716.155422
1181564.794366,1580,18735.858179
1505966.734253,1580,18755.925417
1804602.280601,1580,18775.905803
896547.039943,1580,18797.477137
988270.920767,1580,18815.546696
533503.258957,1580,18835.150374
5406330.149088,1580,18853.562842
1712997.897274,1580,18871.75078
4280936.652021,1580,18892.467397
730100.310309,1580,18910.956968
2091683.144904,1580,18928.852453
1443161.936868,1580,18948.213803
742486.18934,1580,18966.466522
1451418.781629,1580,18984.352606
814226.213761,1580,19004.220391
670113.441488,1580,19023.034908
810021.579502,1580,19041.597861
816612.851862,1580,19064.680705
798220.627652,1580,19084.467598
663834.634326,1580,19104.907037
1084827.846146,1580,19130.011088
567095.220319,1580,19149.419614
1186605.789272,1580,19170.531771
2112509.294623,1580,19189.899401
1069772.109122,1580,19207.843353
2200302.016922,1580,19228.14435
1093633.268374,1580,19248.530443
1392920.626498,1580,19268.146555
1687485.886516,1580,19288.002661
694389.407413,1580,19307.094765
808963.409004,1580,19326.422465
1158445.210533,1580,19347.008584
758979.643059,1580,19366.938646
862930.375395,1580,19385.097362
1051648.007981,1580,19405.490513
1812072.472534,1580,19424.650157
2557924.984222,1580,19442.766521
530001.229734,1580,19461.896321
283795.472003,1580,19480.746929
773167.582184,1580,19500.418487
1093354.084253,1580,19520.611836
1064720.05881,1580,19539.867768
1566294.26813,1580,19558.004269
1033300.298145,1580,19577.956605
602309.362305,1580,19601.281468
2771247.338644,1580,19628.987617
863612.104531,1580,19649.645553
1805164.971472,1580,19669.090283
1044507.037286,1580,19689.244136
1039620.949941,1580,19709.730835
1696645.809013,1580,19728.668099
802563.32349,1580,19747.36474
950391.268569,1580,19767.441342
1148351.631103,1580,19786.017006
909371.984133,1580,19805.4622
1080900.218649,1580,19825.060155
1069409.769589,1580,19843.084993
584765.626587,1580,19862.246875
481343.708542,1580,19881.036216
1536522.59852,1580,19898.876708
1525227.089712,1580,19918.417738
772835.329444,1580,19938.172424
1615370.876404,1580,19956.282801
558274.699221,1580,19975.466524
556493.457396,1580,19994.733505
803941.114875,1580,20013.192471
1017595.052055,1580,20032.606599
684923.134894,1580,20051.536355
816573.109379,1580,20069.545024
1376637.214951,1580,20088.746304
531799.886212,1580,20107.803435
1018559.160568,1580,20125.711857
998862.439195,1580,20145.470896
3620864.936889,1580,20164.286114
1067495.831675,1580,20182.253761
827873.093878,1580,20202.130506
1956354.689376,1580,20221.007034
771325.476263,1580,20239.156977
1804202.734625,1580,20259.234689
674833.057441,1580,20278.393306
860847.23168,1580,20296.389319
1308179.612095,1580,20317.196439
958875.406309,1580,20336.19125
854057.926176,1580,20354.468039
2754784.818538,1580,20375.058586
1082842.42841,1580,20393.174361
998630.080966,1580,20412.254282
727260.396503,1580,20432.349774
1305027.790915,1580,20450.596013
1459388.886883,1580,20471.432122
659049.922491,1580,20492.200816
967502.188233,1580,20514.03406
3217107.206632,1580,20533.560645
1914462.690497,1580,20553.119499
1410556.265559,1580,20571.794251
894722.095067,1580,20591.885244
732567.193638,1580,20612.799049
1323745.710487,1580,20630.822887
892595.190827,1580,20650.292512
956125.330216,1580,20668.97699
833078.949215,1580,20687.111258
1171867.832493,1580,20706.642213
1642213.242061,1580,20725.264275
1345897.238105,1580,20743.2066
721688.633525,1580,20763.020221
1480239.382622,1580,20782.254795
1028825.586232,1580,20800.419893
781947.353539,1580,20820.32526
567483.992086,1580,20839.693419
1820388.129459,1580,20857.525126
1038691.480291,1580,20877.369345
1639178.877865,1580,20895.843434
1767385.394207,1580,20914.292689
1646330.624282,1580,20934.674465
916718.824531,1580,20953.351521
2083917.966874,1580,20972.233991
756777.507398,1580,20992.937033
4345248.514592,1580,21011.158276
5641396.486269,1580,21030.69948
2257577.046719,1580,21050.139624
2051545.672884,1580,21068.452578
1311572.351882,1580,21088.074562
1279979.541453,1580,21107.162601
4513220.095794,1580,21125.093034
2608568.202879,1580,21143.862335
1916648.965535,1580,21176.801582
4695993.026836,1580,21195.99341
3513019.36209,1580,21216.515852
2400775.110533,1580,21236.923802
646823.617257,1580,21255.764424
2402836.575979,1580,21275.489061
1486823.739098,1580,21295.325189
1454232.231872,1580,21314.713995
783093.047489,1580,21334.462019
1111222.665231,1580,21354.718985
1815941.056806,1580,21373.243656
